,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
56,"Nescafe Dolce Gusto Flat White Coffee Pods (Pack of 3, Total 48 Capsules)",B07HZFQHXZ,Dolce Gusto,10.5,11610,121905,53,4.11,29,5,8973,2,245,Amazon,Drinks,Large Oversize,AMZ,5.0x14.5x4.9,1.98,10-03-2018
57,"Smiths Savoury Snacks Bacon Fries Carded Pub Favourites Snacks, 24 g (Pack of 24) (Packaging May Vary)",B07F579FBJ,Smiths,10.79,10606,114439,54,4.15,19,5,13235,8,272,,Food Cupboard,Large Oversize,AMZ,12.8x14.6x3.0,1.65,6/29/2010
58,"Candy Kittens Vegan Sweets, Sour Watermelon, 54g",B07T3XG2ZX,CANDY KITTENS,1,10480,10480,63,2.34,6,5,11182,7,308,Amazon,Food Cupboard,Standard Parcel,AMZ,3.7x5.3x0.9,0.11,06-06-2019
59,"The Cheeky Panda – Bamboo Toilet Tissue Paper | Pack of 4 Rolls (3-Ply, 200 Sheets) | Hypoallergenic, Plastic-Free, Eco-Friendly, Super Soft, Strong & Sustainable",B07TVF96JT,The Cheeky Panda,3.5,,,4,2.79,6,5,3602,8,0,Amazon,Amazon Launchpad,Large Oversize,AMZ,8.1x8.7x4.1,1.15,5/18/2019
60,"Snow Globe Gin Liqueur, Orange & Gingerbread Gin Liqueur, 70cl, Illuminating Bottle",B08LNW6PJS,Gravity Drinks,24.48,9719,237921,65,5.16,28,5,1645,8,129,a2zdrinks Express Delivery,"Beer, Wine & Spirits",Large Oversize,FBA,6.5x7.0x4.7,2.98,10/22/2020
61,J.J. Whitley Mango & Papaya Gin 1.75l,B08WQBDM1W,J.J. Whitley,44.95,10225,459614,66,8.72,4,5,9593,4,297,Amazon,"Beer, Wine & Spirits",,AMZ,,6.37,02-11-2021
62,"Bloo Power Active Toilet Rim Block, Lemon, 50g",B072C7TVSZ,Bloo,1,10858,10858,69,2.46,15,5,4412,7,274,Amazon,Grocery,Standard Parcel,AMZ,5.0x6.6x1.5,0.15,5/30/2017
63,"Method Floor Cleaner, Lemon Ginger, 739 ml",B0013FRRG6,Method,3,11515,34545,65,2.75,20,5,10603,7,389,Amazon,Grocery,Large Oversize,FBA,4.9x10.2x2.2,1.76,10/27/2011
64,Moet & Chandon Brut Imperial Champagne 20cl,B007ULWJRY,Moët & Chandon,16.95,4854,82275,56,3.94,5,5,4665,7,3750,,"Beer, Wine & Spirits",Large Oversize,AMZ,2.0x8.0x2.0,0.95,6/29/2010
65,Happy Anniversary for Coffee Lovers - Gift Set with 5 Unique Coffee Bags with Premium & Organic Ground Coffee from Around The World | Hamper Style Letterbox Present,B08HS8QJML,GROWER'S CUP,9.95,12891,128265,61,,1,5,5021,8,245,The Brew Company,Hampers & Gourmet Gifts,,MFN,,,09-07-2020
66,Twinings English Afternoon Tea 400 Tea Bags (Multipack of 4 x 100 Tea Bags),B01LXFRFO7,Twinings,14,11146,156044,67,4.8,9,5,9817,4,174,Amazon,Drinks,Large Oversize,AMZ,5.9x12.2x5.7,2.76,10-02-2016
67,LINDOR Advent Calendar Milk 300g - Assortment with an irresistibly smooth filling for a festive and magical countdown until Christmas,B07GFCQVZ5,Lindt,9.5,8008,76076,77,3.28,61,5,1472,7,27,Amazon,Grocery,Large Oversize,AMZ,10.6x13.6x1.4,0.97,8/13/2018
68,Pukka Herbs | Active Tea Selection Box | Eco Friendly Gift | Christmas Gift | Green Tea Selection | Ideal Birthday Or Thank You Gift | Perfect For An Active Lifestyle | 45 Sachets | 5 Flavours,B089T15HQ4,Pukka Herbs,13.99,9575,133954,74,4.63,4,5,6682,9,165,,Drinks,Large Oversize,AMZ,9.7x11.0x1.9,1.08,06-04-2020
69,Retro Sweets Mini Box | Letterbox Size Box Filled with Retro Sweets,B096ZSW6L1,Just Treats,3.74,4822,18034,73,2.52,1,4,128,6,35,CB UK LTD,Hampers & Gourmet Gifts,Small Oversize,FBA,6.7x9.6x1.1,0.4,06-10-2021
70,"The Pink Gin Collection | Gin Gift Set 4 x 5cl Miniatures - Whitley Neill Gin Rhubarb & Ginger, Edinburgh Gin Plum & Vanilla Liqueur, Gordon's Pink Gin, Greenall's Wild Berry Gin | Gin Gifts for Women",B07K4TMCSJ,BEAMS INTERNATIONAL,10,8646,86460,79,3.23,3,5,3570,8,100,,"Beer, Wine & Spirits",Large Oversize,AMZ,5.9x8.7x1.8,0.95,11-02-2018
71,HG 186050106 Mould Spray 500ml - thé effective mould spray and mildew cleaner,B000IU40HQ,HG,5,11994,59970,73,3.01,13,5,20547,6,618,,Grocery,Large Oversize,AMZ,2.9x10.0x2.8,1.5,9/21/2006
